firstname,lastname,url,party,twitter
Bob,Spink,uk.org.publicwhip/member/2038,Ind
Brian H,Donohoe,uk.org.publicwhip/member/1962,Lab
Brian,Binley,uk.org.publicwhip/member/1742,Con
Brian,Iddon,uk.org.publicwhip/member/1432,Lab
Brian,Jenkins,uk.org.publicwhip/member/1867,Lab
Bridget,Prentice,uk.org.publicwhip/member/1682,Lab
Brooks,Newmark,uk.org.publicwhip/member/1443,Con
Bruce,George,uk.org.publicwhip/member/1901,Lab
Caroline,Flint,uk.org.publicwhip/member/1543,Lab
Caroline,Spelman,uk.org.publicwhip/member/1711,Con
Celia,Barlow,uk.org.publicwhip/member/1644,Lab,CeliaBarlowMP
Charles,Clarke,uk.org.publicwhip/member/1745,Lab
Charles,Hendry,uk.org.publicwhip/member/1913,Con
Charles,Kennedy,uk.org.publicwhip/member/2011,LDem
Charles,Walker,uk.org.publicwhip/member/1461,Con
Charlotte,Atkins,uk.org.publicwhip/member/1834,Lab
Cheryl,Gillan,uk.org.publicwhip/member/1495,Con
Chloe,Smith,uk.org.publicwhip/member/40032,Con
Chris,Bryant,uk.org.publicwhip/member/1779,Lab,ChrisBryantMP
Chris,Grayling,uk.org.publicwhip/member/1575,Con
Chris,McCafferty,uk.org.publicwhip/member/1471,Lab
Chris,Mole,uk.org.publicwhip/member/1653,Lab
Chris,Mullin,uk.org.publicwhip/member/1856,Lab
Chris,Ruane,uk.org.publicwhip/member/1894,Lab
Christine,Russell,uk.org.publicwhip/member/1496,Lab
Christopher,Chope,uk.org.publicwhip/member/1502,Con
Christopher,Fraser,uk.org.publicwhip/member/1739,Con
Christopher,Huhne,uk.org.publicwhip/member/1565,LDem,ChrisHuhne
Claire,Curtis-Thomas,uk.org.publicwhip/member/1521,Lab
Claire,Ward,uk.org.publicwhip/member/1911,Lab
Clare,Short,uk.org.publicwhip/member/2024,Ind Lab
Clive,Betts,uk.org.publicwhip/member/1809,Lab
Clive,Efford,uk.org.publicwhip/member/1571,Lab
Colin,Breed,uk.org.publicwhip/member/1514,LDem
Colin,Burgon,uk.org.publicwhip/member/1570,Lab
Colin,Challen,uk.org.publicwhip/member/1722,Lab
Conor,Murphy,uk.org.publicwhip/member/1734,SF
Crispin,Blunt,uk.org.publicwhip/member/1778,Con
Dai,Davies,uk.org.publicwhip/member/2022,Ind
Dai,Havard,uk.org.publicwhip/member/1712,Lab
Damian,Green,uk.org.publicwhip/member/1379,Con
Dan,Norris,uk.org.publicwhip/member/1904,Lab
Daniel,Kawczynski,uk.org.publicwhip/member/1817,Con
Daniel,Rogerson,uk.org.publicwhip/member/1513,LDem
Danny,Alexander,uk.org.publicwhip/member/1995,LDem,dannyalexander
Dari,Taylor,uk.org.publicwhip/member/1840,Lab,DariTaylorMP
Dave,Watts,uk.org.publicwhip/member/1799,Lab
David,Amess,uk.org.publicwhip/member/1829,Con
David,Anderson,uk.org.publicwhip/member/1427,Lab
David,Blunkett,uk.org.publicwhip/member/1810,Lab
David,Borrow,uk.org.publicwhip/member/1780,Lab
David,Burrowes,uk.org.publicwhip/member/1573,Con
David,Cairns,uk.org.publicwhip/member/1994,Lab,davidcairnsmp
David,Cameron,uk.org.publicwhip/member/1932,Con
David,Chaytor,uk.org.publicwhip/member/1466,Lab,chaytord
David,Clelland,uk.org.publicwhip/member/1886,Lab
David,Crausby,uk.org.publicwhip/member/1431,Lab
David,Curry,uk.org.publicwhip/member/1820,Con
David,Davies,uk.org.publicwhip/member/1719,Con
David,Davis,uk.org.publicwhip/member/2034,Con
David,Drew,uk.org.publicwhip/member/1850,Lab,DavidDrewMP
David,Evennett,uk.org.publicwhip/member/1408,Con,davidevennett
David,Gauke,uk.org.publicwhip/member/1633,Con
David,Hamilton,uk.org.publicwhip/member/2001,Lab
David,Hanson,uk.org.publicwhip/member/1530,Lab
David,Heath,uk.org.publicwhip/member/1824,LDem
David,Heathcoat-Amory,uk.org.publicwhip/member/1916,Con
David,Heyes,uk.org.publicwhip/member/1380,Lab
David,Howarth,uk.org.publicwhip/member/1473,LDem
David,Jones,uk.org.publicwhip/member/1506,Con,davidjonesmp
David,Kidney,uk.org.publicwhip/member/1833,Lab,davidkidney
David,Lammy,uk.org.publicwhip/member/1882,Lab,DavidLammyMP
David,Laws,uk.org.publicwhip/member/1951,LDem
David,Lepper,uk.org.publicwhip/member/1454,Lab
David,Lidington,uk.org.publicwhip/member/1381,Con
David,Maclean,uk.org.publicwhip/member/1758,Con
David,Miliband,uk.org.publicwhip/member/1826,Lab,DMiliband
David,Mundell,uk.org.publicwhip/member/1970,Con,mundelld
David,Ruffley,uk.org.publicwhip/member/1468,Con
David,Simpson,uk.org.publicwhip/member/1892,DUP
David,Taylor,uk.org.publicwhip/member/1677,Lab
David,Tredinnick,uk.org.publicwhip/member/1436,Con
David,Willetts,uk.org.publicwhip/member/1623,Con
David,Wilshire,uk.org.publicwhip/member/1832,Con
David,Winnick,uk.org.publicwhip/member/1900,Lab
David,Wright,uk.org.publicwhip/member/1871,Lab,DavidWrightMP
Dawn,Butler,uk.org.publicwhip/member/1447,Lab
Dawn,Primarolo,uk.org.publicwhip/member/1457,Lab
Denis,MacShane,uk.org.publicwhip/member/1790,Lab
Denis,Murphy,uk.org.publicwhip/member/1903,Lab
Dennis,Skinner,uk.org.publicwhip/member/1430,Lab
Derek,Conway,uk.org.publicwhip/member/2028,Ind
Derek,Twigg,uk.org.publicwhip/member/1609,Lab
Derek,Wyatt,uk.org.publicwhip/member/1819,Lab,wyattd
Des,Browne,uk.org.publicwhip/member/1996,Lab
Desmond,Swayne,uk.org.publicwhip/member/1725,Con
Desmond,Turner,uk.org.publicwhip/member/1453,Lab
Diana,Johnson,uk.org.publicwhip/member/1647,Lab,DianaJohnsonMP
Diane,Abbott,uk.org.publicwhip/member/1604,Lab
Dominic,Grieve,uk.org.publicwhip/member/1394,Con
Don,Foster,uk.org.publicwhip/member/1391,LDem
Don,Touhig,uk.org.publicwhip/member/1657,Lab
Doug,Henderson,uk.org.publicwhip/member/1731,Lab
Doug,Naysmith,uk.org.publicwhip/member/1456,Lab
Douglas,Alexander,uk.org.publicwhip/member/2008,Lab
Douglas,Carswell,uk.org.publicwhip/member/1621,Con,DouglasCarswell
Douglas,Hogg,uk.org.publicwhip/member/1821,Con
Eddie,McGrady,uk.org.publicwhip/member/1552,SDLP
Edward,Balls,uk.org.publicwhip/member/1740,Lab,edballsmp
Edward,Davey,uk.org.publicwhip/member/1662,LDem
Edward,Garnier,uk.org.publicwhip/member/1615,Con
Edward,Leigh,uk.org.publicwhip/member/1591,Con
Edward,Miliband,uk.org.publicwhip/member/1545,Lab,EdMilibandMP
Edward,O'Hara,uk.org.publicwhip/member/1665,Lab
Edward,Timpson,uk.org.publicwhip/member/2032,Con
Edward,Vaizey,uk.org.publicwhip/member/1905,Con,edvaizey
Eleanor,Laing,uk.org.publicwhip/member/1574,Con
Elfyn,Llwyd,uk.org.publicwhip/member/1710,PC
Elliot,Morley,uk.org.publicwhip/member/1805,Lab,elliotmorley
Emily,Thornberry,uk.org.publicwhip/member/1656,Lab
Eric,Illsley,uk.org.publicwhip/member/1384,Lab
Eric,Joyce,uk.org.publicwhip/member/1983,Lab,ericjoyce
Eric,Martlew,uk.org.publicwhip/member/1484,Lab
Eric,Pickles,uk.org.publicwhip/member/1449,Con,EricPickles
Evan,Harris,uk.org.publicwhip/member/1756,LDem
Fabian,Hamilton,uk.org.publicwhip/member/1671,Lab
Fiona,Mactaggart,uk.org.publicwhip/member/1822,Lab
Francis,Maude,uk.org.publicwhip/member/1642,Con
Frank,Cook,uk.org.publicwhip/member/1839,Lab
Frank,Dobson,uk.org.publicwhip/member/1639,Lab
Frank,Doran,uk.org.publicwhip/member/1955,Lab
Frank,Field,uk.org.publicwhip/member/1410,Lab,frankfieldteam
Frank,Roy,uk.org.publicwhip/member/2003,Lab
Fraser,Kemp,uk.org.publicwhip/member/1643,Lab
Gareth,Thomas,uk.org.publicwhip/member/1619,Lab
Gary,Streeter,uk.org.publicwhip/member/1540,Con
Gavin,Strang,uk.org.publicwhip/member/1978,Lab
Geoff,Hoon,uk.org.publicwhip/member/1378,Lab
Geoffrey,Clifton-Brown,uk.org.publicwhip/member/1515,Con
Geoffrey,Cox,uk.org.publicwhip/member/1541,Con
Geoffrey,Robinson,uk.org.publicwhip/member/1517,Lab
George,Galloway,uk.org.publicwhip/member/1405,Res,georgegalloway
George,Howarth,uk.org.publicwhip/member/1664,Lab
George,Mudie,uk.org.publicwhip/member/1670,Lab
George,Osborne,uk.org.publicwhip/member/1868,Con
George,Young,uk.org.publicwhip/member/1613,Con
Gerald,Howarth,uk.org.publicwhip/member/1369,Con
Gerald,Kaufman,uk.org.publicwhip/member/1706,Lab
Geraldine,Smith,uk.org.publicwhip/member/1721,Lab
Gerry,Adams,uk.org.publicwhip/member/1403,SF
Gerry,Sutcliffe,uk.org.publicwhip/member/1441,Lab
Gillian,Merron,uk.org.publicwhip/member/1686,Lab,GillianMerron
Gisela,Stuart,uk.org.publicwhip/member/1411,Lab,GiselaStuart
